writer	wave	folders	units (a unit is a subtree root; "(folder only)" = that folder's own README, its subfolders are other units)
R11.2	W4.5	18	assets_v2/glyphs ; assets_v2/storage_spec ; contracts_v2
R11.3	W4.6	16	assets_v2/terrains
R12	W4.6	12	apps/mod/tbd-framework/Scripts/Game/TBD/Systems
R13	W4.6	19	apps/mod/tbd-framework/Scripts/Game/TBD/API ; apps/mod/tbd-framework/Scripts/Game/TBD/Core ; apps/mod/tbd-framework/Scripts/Game/TBD/Session
R14.1	W4.6	14	apps/mod (folder only) ; apps/mod/tbd-emcp ; apps/mod/tbd-framework (folder only) ; apps/mod/tbd-framework/Configs ; apps/mod/tbd-framework/Data ; apps/mod/tbd-framework/Missions ; apps/mod/tbd-framework/Prefabs
R14.2	W4.7	15	apps/mod/tbd-framework/Scripts ; apps/mod/tbd-framework/worlds
R14.3	W4.7	16	apps/mod/tbd-framework/UI
R15.1	W4.7	16	apps/mod/tbd-export (folder only) ; apps/mod/tbd-export/Missions ; apps/mod/tbd-export/Prefabs ; apps/mod/tbd-export/Scripts (folder only) ; apps/mod/tbd-export/Scripts/Game ; apps/mod/tbd-export/Scripts/WorkbenchGame (folder only) ; apps/mod/tbd-export/Scripts/WorkbenchGame/MapExport (folder only) ; apps/mod/tbd-export/Scripts/WorkbenchGame/MapExport/Core ; apps/mod/tbd-export/Scripts/WorkbenchGame/MapExport/Locations ; apps/mod/tbd-export/Scripts/WorkbenchGame/MapExport/Plugins ; apps/mod/tbd-export/Scripts/WorkbenchGame/MapExport/Registry ; apps/mod/tbd-export/Scripts/WorkbenchGame/VehicleExport
R15.2	W4.7	16	apps/mod/tbd-export/Scripts/WorkbenchGame/EquipmentExport
R15.3	W4.8	14	apps/mod/tbd-export/Scripts/WorkbenchGame/EquipmentVehicleExport ; apps/mod/tbd-export/Scripts/WorkbenchGame/MapExport/Objects ; apps/mod/tbd-export/worlds
R15.4	W4.8	18	apps/mod/tbd-export/Scripts/WorkbenchGame/MapExport/Terrain ; apps/mod/tbd-export/Scripts/WorkbenchGame/MapExport/Vegetation
R16	W4.8	19	tools_v2/xtask/src/commands/mod_ops ; tools_v2/xtask/src/commands/platform
R17.1	W4.8	16	tools_v2/xtask (folder only) ; tools_v2/xtask/dedicated_server_profiles ; tools_v2/xtask/deploy ; tools_v2/xtask/fixtures ; tools_v2/xtask/src (folder only) ; tools_v2/xtask/src/cli ; tools_v2/xtask/src/commands (folder only) ; tools_v2/xtask/src/commands/agent_context ; tools_v2/xtask/src/commands/build ; tools_v2/xtask/src/commands/ci ; tools_v2/xtask/src/commands/fetch
R17.2	W4.9	16	tools_v2/xtask/src/commands/db ; tools_v2/xtask/src/commands/debug ; tools_v2/xtask/src/commands/deploy ; tools_v2/xtask/src/commands/generate ; tools_v2/xtask/src/commands/map ; tools_v2/xtask/src/commands/mcp ; tools_v2/xtask/src/commands/reproduction
R18.1	W4.9	16	tools_v2/xtask/src/verifications (folder only) ; tools_v2/xtask/src/verifications/api_readiness ; tools_v2/xtask/src/verifications/architecture ; tools_v2/xtask/src/verifications/ci ; tools_v2/xtask/src/verifications/database ; tools_v2/xtask/src/verifications/deployment ; tools_v2/xtask/src/verifications/documentation ; tools_v2/xtask/src/verifications/map_assets
R18.2	W4.9	17	tools_v2/xtask/src/verifications/language_bans ; tools_v2/xtask/src/verifications/licensing ; tools_v2/xtask/src/verifications/mod_scripts ; tools_v2/xtask/src/verifications/registry ; tools_v2/xtask/src/verifications/schemas ; tools_v2/xtask/src/commands/schema ; tools_v2/xtask/src/commands/setup ; tools_v2/xtask/src/commands/ticket ; tools_v2/xtask/src/commands/verify ; tools_v2/xtask/src/commands/wave ; tools_v2/xtask/src/core
R19	W4.9	20	tools_v2/developer-tools/src/blueprint ; tools_v2/developer-tools/src/browser_testing
R20.1	W4.10	16	tools_v2/developer-tools (folder only) ; tools_v2/developer-tools/fixtures ; tools_v2/developer-tools/src (folder only) ; tools_v2/developer-tools/src/bin ; tools_v2/developer-tools/src/enfusion_pak ; tools_v2/developer-tools/src/enfusion_tooling ; tools_v2/developer-tools/src/map_raster_pipeline
R20.2	W4.10	11	tools_v2/developer-tools/src/map_verification ; tools_v2/developer-tools/src/world_export_pipeline
R20.3	W4.10	10	tools_v2/developer-tools/test_fixtures
R21.1	W4.10	16	apps/fleet_host_agent ; apps/ticketboard (folder only) ; apps/ticketboard/src (folder only) ; apps/ticketboard/src/application ; apps/ticketboard/src/core ; tools_v2 (folder only) ; tools_v2/enfusion_mcp_node_package
R21.2	W4.11	16	apps/ticketboard/src/document_viewer ; apps/ticketboard/src/execution_metrics ; apps/ticketboard/src/repository_status ; apps/ticketboard/src/ticket_registry
R21.3	W4.11	15	apps/ticketboard/src/ticket_actions ; apps/ticketboard/src/ticket_browser ; apps/ticketboard/src/wave_plan
R21.4	W4.11	16	tools_v2/ticket-engine ; tools_v2/verification-core
