ticket	field	old_string	new_string	rule	note
T-010	citations	docs/platform/SHIPPED_HISTORY.md	documentation_v2/archive/shipped_history/shipped_history.md	rewrite	parent file; path; idx 1; manifest archive
T-011	citations	docs/platform/SHIPPED_HISTORY.md	documentation_v2/archive/shipped_history/shipped_history.md	rewrite	parent file; path; idx 1; manifest archive
T-012	citations	docs/platform/SHIPPED_HISTORY.md	documentation_v2/archive/shipped_history/shipped_history.md	rewrite	parent file; path; idx 1; manifest archive
T-013	citations	docs/platform/SHIPPED_HISTORY.md	documentation_v2/archive/shipped_history/shipped_history.md	rewrite	parent file; path; idx 1; manifest archive
T-018	approach	DEV_RUNBOOK.md	documentation_v2/runbooks/local_development.md	rewrite	parent file; bare basename of docs/website/DEV_RUNBOOK.md; idx 1; the basename changes, so the bare name becomes the full final path; replace whole-token occurrences only (not preceded by '/', '_', '-', a letter or a digit), after the full-path rows
T-018	citations	docs/platform/SHIPPED_HISTORY.md	documentation_v2/archive/shipped_history/shipped_history.md	rewrite	parent file; path; idx 1; manifest archive
T-019	citations	docs/platform/SHIPPED_HISTORY.md	documentation_v2/archive/shipped_history/shipped_history.md	rewrite	parent file; path; idx 1; manifest archive
T-020	citations	docs/platform/SHIPPED_HISTORY.md	documentation_v2/archive/shipped_history/shipped_history.md	rewrite	parent file; path; idx 1; manifest archive
T-021	citations	docs/platform/SHIPPED_HISTORY.md	documentation_v2/archive/shipped_history/shipped_history.md	rewrite	parent file; path; idx 1; manifest archive
T-022	citations	docs/platform/SHIPPED_HISTORY.md	documentation_v2/archive/shipped_history/shipped_history.md	rewrite	parent file; path; idx 1; manifest archive
T-023	citations	docs/platform/SHIPPED_HISTORY.md	documentation_v2/archive/shipped_history/shipped_history.md	rewrite	parent file; path; idx 1; manifest archive
T-024	citations	docs/platform/SHIPPED_HISTORY.md	documentation_v2/archive/shipped_history/shipped_history.md	rewrite	parent file; path; idx 1; manifest archive
T-025	citations	docs/platform/SHIPPED_HISTORY.md	documentation_v2/archive/shipped_history/shipped_history.md	rewrite	parent file; path; idx 1; manifest archive
T-029	citations	docs/platform/SHIPPED_HISTORY.md	documentation_v2/archive/shipped_history/shipped_history.md	rewrite	parent file; path; idx 1; manifest archive
T-030	citations	docs/platform/SHIPPED_HISTORY.md	documentation_v2/archive/shipped_history/shipped_history.md	rewrite	parent file; path; idx 1; manifest archive
T-031	citations	docs/platform/SHIPPED_HISTORY.md	documentation_v2/archive/shipped_history/shipped_history.md	rewrite	parent file; path; idx 1; manifest archive
T-032	citations	docs/platform/SHIPPED_HISTORY.md	documentation_v2/archive/shipped_history/shipped_history.md	rewrite	parent file; path; idx 1; manifest archive
T-033	citations	docs/platform/SHIPPED_HISTORY.md	documentation_v2/archive/shipped_history/shipped_history.md	rewrite	parent file; path; idx 1; manifest archive
T-034	approach	04_eden_editor_ux_spec.md	documentation_v2/website/frontend/apps/editor/ux_spec.md	rewrite	parent file; bare basename of docs/specs/Mission_Creator_Architecture/04_eden_editor_ux_spec.md; idx 0; redirect stub archived at documentation_v2/archive/redirect_stubs/docs__specs__mission_creator_architecture__04_eden_editor_ux_spec.md; points at its real target docs/specs/Mission_Creator_Architecture/ux_spec.md; the basename changes, so the bare name becomes the full final path; replace whole-token occurrences only (not preceded by '/', '_', '-', a letter or a digit), after the full-path rows
T-034	verify	04_eden_editor_ux_spec.md	documentation_v2/website/frontend/apps/editor/ux_spec.md	rewrite	parent file; bare basename of docs/specs/Mission_Creator_Architecture/04_eden_editor_ux_spec.md; idx 0; redirect stub archived at documentation_v2/archive/redirect_stubs/docs__specs__mission_creator_architecture__04_eden_editor_ux_spec.md; points at its real target docs/specs/Mission_Creator_Architecture/ux_spec.md; the basename changes, so the bare name becomes the full final path; replace whole-token occurrences only (not preceded by '/', '_', '-', a letter or a digit), after the full-path rows
T-034	acceptance	04_eden_editor_ux_spec.md	documentation_v2/website/frontend/apps/editor/ux_spec.md	rewrite	parent file; bare basename of docs/specs/Mission_Creator_Architecture/04_eden_editor_ux_spec.md; idx 0; redirect stub archived at documentation_v2/archive/redirect_stubs/docs__specs__mission_creator_architecture__04_eden_editor_ux_spec.md; points at its real target docs/specs/Mission_Creator_Architecture/ux_spec.md; the basename changes, so the bare name becomes the full final path; replace whole-token occurrences only (not preceded by '/', '_', '-', a letter or a digit), after the full-path rows
T-034	acceptance	05_agent_execution_plan.md	documentation_v2/website/frontend/apps/editor/decisions.md	rewrite	parent file; bare basename of docs/specs/Mission_Creator_Architecture/05_agent_execution_plan.md; idx 0; redirect stub archived at documentation_v2/archive/redirect_stubs/docs__specs__mission_creator_architecture__05_agent_execution_plan.md; points at its real target docs/specs/Mission_Creator_Architecture/agent_execution.md; the basename changes, so the bare name becomes the full final path; replace whole-token occurrences only (not preceded by '/', '_', '-', a letter or a digit), after the full-path rows
T-034	citations	SHIPPED_HISTORY.md	documentation_v2/archive/shipped_history/shipped_history.md	rewrite	parent file; bare basename of docs/platform/SHIPPED_HISTORY.md; idx 1; the basename changes, so the bare name becomes the full final path; replace whole-token occurrences only (not preceded by '/', '_', '-', a letter or a digit), after the full-path rows
T-035	citations	SHIPPED_HISTORY.md	documentation_v2/archive/shipped_history/shipped_history.md	rewrite	parent file; bare basename of docs/platform/SHIPPED_HISTORY.md; idx 1; the basename changes, so the bare name becomes the full final path; replace whole-token occurrences only (not preceded by '/', '_', '-', a letter or a digit), after the full-path rows
T-036	citations	SHIPPED_HISTORY.md	documentation_v2/archive/shipped_history/shipped_history.md	rewrite	parent file; bare basename of docs/platform/SHIPPED_HISTORY.md; idx 1; the basename changes, so the bare name becomes the full final path; replace whole-token occurrences only (not preceded by '/', '_', '-', a letter or a digit), after the full-path rows
T-037	citations	SHIPPED_HISTORY.md	documentation_v2/archive/shipped_history/shipped_history.md	rewrite	parent file; bare basename of docs/platform/SHIPPED_HISTORY.md; idx 1; the basename changes, so the bare name becomes the full final path; replace whole-token occurrences only (not preceded by '/', '_', '-', a letter or a digit), after the full-path rows
T-038	citations	SHIPPED_HISTORY.md	documentation_v2/archive/shipped_history/shipped_history.md	rewrite	parent file; bare basename of docs/platform/SHIPPED_HISTORY.md; idx 1; the basename changes, so the bare name becomes the full final path; replace whole-token occurrences only (not preceded by '/', '_', '-', a letter or a digit), after the full-path rows
T-043	requirement	docs/website/README.md	documentation_v2/README.md	rewrite	parent file; path; idx 0; manifest move
T-043	requirement	docs/platform/	-	manual	parent file; directory path; idx 1; folder mention; docs/platform/ splits across documentation_v2/tickets/specs/, runbooks/, standards/, known_bugs/, tools_v2/ticket-engine/ and archive/; suggest keep (historical) or name the one file the sentence means
T-043	requirement	TAGS.md	documentation_v2/standards/ticket_identifiers.md	rewrite	parent file; bare basename of docs/website/TAGS.md; idx 2; the basename changes, so the bare name becomes the full final path; replace whole-token occurrences only (not preceded by '/', '_', '-', a letter or a digit), after the full-path rows
T-043	verify	docs/platform/	-	manual	parent file; directory path; idx 0; folder mention; docs/platform/ splits across documentation_v2/tickets/specs/, runbooks/, standards/, known_bugs/, tools_v2/ticket-engine/ and archive/; suggest keep (historical) or name the one file the sentence means
T-043	acceptance	docs/website/README.md	documentation_v2/README.md	rewrite	parent file; path; idx 0; manifest move
T-043	acceptance	docs/platform/	-	manual	parent file; directory path; idx 0; folder mention; docs/platform/ splits across documentation_v2/tickets/specs/, runbooks/, standards/, known_bugs/, tools_v2/ticket-engine/ and archive/; suggest keep (historical) or name the one file the sentence means
T-043	acceptance	TAGS.md	documentation_v2/standards/ticket_identifiers.md	rewrite	parent file; bare basename of docs/website/TAGS.md; idx 0; the basename changes, so the bare name becomes the full final path; replace whole-token occurrences only (not preceded by '/', '_', '-', a letter or a digit), after the full-path rows
T-045	summary	ROADMAP.md	-	manual	parent file; bare basename of docs/specs/Mission_Creator_Architecture/ROADMAP.md;docs/website/backend/ROADMAP.md;docs/website/frontend/ROADMAP.md (ambiguous: 3 docs files); generic: the per-domain ROADMAP.md files T-045 added; they land at three names (documentation_v2/website/frontend/apps/editor/mission_creator_roadmap.md, documentation_v2/website/api_v2/api_overview.md, documentation_v2/website/frontend/README.md); suggest keep, the ticket narrates a past layout
T-045	main_goal	ROADMAP.md	-	manual	parent file; bare basename of docs/specs/Mission_Creator_Architecture/ROADMAP.md;docs/website/backend/ROADMAP.md;docs/website/frontend/ROADMAP.md (ambiguous: 3 docs files); generic: the per-domain ROADMAP.md files T-045 added; they land at three names (documentation_v2/website/frontend/apps/editor/mission_creator_roadmap.md, documentation_v2/website/api_v2/api_overview.md, documentation_v2/website/frontend/README.md); suggest keep, the ticket narrates a past layout
T-045	requirement	ROADMAP.md	-	manual	parent file; bare basename of docs/specs/Mission_Creator_Architecture/ROADMAP.md;docs/website/backend/ROADMAP.md;docs/website/frontend/ROADMAP.md (ambiguous: 3 docs files); idx 0; generic: the per-domain ROADMAP.md files T-045 added; they land at three names (documentation_v2/website/frontend/apps/editor/mission_creator_roadmap.md, documentation_v2/website/api_v2/api_overview.md, documentation_v2/website/frontend/README.md); suggest keep, the ticket narrates a past layout
T-045	current_state	05_agent_execution_plan.md	documentation_v2/website/frontend/apps/editor/decisions.md	rewrite	parent file; bare basename of docs/specs/Mission_Creator_Architecture/05_agent_execution_plan.md; idx 0; redirect stub archived at documentation_v2/archive/redirect_stubs/docs__specs__mission_creator_architecture__05_agent_execution_plan.md; points at its real target docs/specs/Mission_Creator_Architecture/agent_execution.md; the basename changes, so the bare name becomes the full final path; replace whole-token occurrences only (not preceded by '/', '_', '-', a letter or a digit), after the full-path rows
T-045	approach	ROADMAP.md	-	manual	parent file; bare basename of docs/specs/Mission_Creator_Architecture/ROADMAP.md;docs/website/backend/ROADMAP.md;docs/website/frontend/ROADMAP.md (ambiguous: 3 docs files); idx 0; generic: the per-domain ROADMAP.md files T-045 added; they land at three names (documentation_v2/website/frontend/apps/editor/mission_creator_roadmap.md, documentation_v2/website/api_v2/api_overview.md, documentation_v2/website/frontend/README.md); suggest keep, the ticket narrates a past layout
T-045	verify	ROADMAP.md	-	manual	parent file; bare basename of docs/specs/Mission_Creator_Architecture/ROADMAP.md;docs/website/backend/ROADMAP.md;docs/website/frontend/ROADMAP.md (ambiguous: 3 docs files); idx 0; generic: the per-domain ROADMAP.md files T-045 added; they land at three names (documentation_v2/website/frontend/apps/editor/mission_creator_roadmap.md, documentation_v2/website/api_v2/api_overview.md, documentation_v2/website/frontend/README.md); suggest keep, the ticket narrates a past layout
T-045	acceptance	ROADMAP.md	-	manual	parent file; bare basename of docs/specs/Mission_Creator_Architecture/ROADMAP.md;docs/website/backend/ROADMAP.md;docs/website/frontend/ROADMAP.md (ambiguous: 3 docs files); idx 0; generic: the per-domain ROADMAP.md files T-045 added; they land at three names (documentation_v2/website/frontend/apps/editor/mission_creator_roadmap.md, documentation_v2/website/api_v2/api_overview.md, documentation_v2/website/frontend/README.md); suggest keep, the ticket narrates a past layout
T-047	main_goal	ROADMAP.md	documentation_v2/website/frontend/apps/editor/mission_creator_roadmap.md	rewrite	parent file; bare basename of docs/specs/Mission_Creator_Architecture/ROADMAP.md;docs/website/backend/ROADMAP.md;docs/website/frontend/ROADMAP.md (ambiguous: 3 docs files); resolved from the ticket text: the Mission Creator ROADMAP (T-047 points the Mission Creator agents at it); the basename changes, so the bare name becomes the full final path; replace whole-token occurrences only (not preceded by '/', '_', '-', a letter or a digit), after the full-path rows
T-047	context	agent_execution.md	documentation_v2/website/frontend/apps/editor/decisions.md	rewrite	parent file; bare basename of docs/specs/Mission_Creator_Architecture/agent_execution.md; idx 1; the basename changes, so the bare name becomes the full final path; replace whole-token occurrences only (not preceded by '/', '_', '-', a letter or a digit), after the full-path rows
T-047	requirement	ROADMAP.md	documentation_v2/website/frontend/apps/editor/mission_creator_roadmap.md	rewrite	parent file; bare basename of docs/specs/Mission_Creator_Architecture/ROADMAP.md;docs/website/backend/ROADMAP.md;docs/website/frontend/ROADMAP.md (ambiguous: 3 docs files); idx 0; resolved from the ticket text: the Mission Creator ROADMAP (T-047 points the Mission Creator agents at it); the basename changes, so the bare name becomes the full final path; replace whole-token occurrences only (not preceded by '/', '_', '-', a letter or a digit), after the full-path rows
T-047	requirement	wiki_manifest.yaml	documentation_v2/website/frontend/apps/editor/eden_editor_reference/eden_wiki_scrape_manifest.yaml	rewrite	parent file; bare basename of docs/specs/Mission_Creator_Architecture/eden/wiki_manifest.yaml; idx 2; the basename changes, so the bare name becomes the full final path; replace whole-token occurrences only (not preceded by '/', '_', '-', a letter or a digit), after the full-path rows
T-047	current_state	wiki_manifest.yaml	documentation_v2/website/frontend/apps/editor/eden_editor_reference/eden_wiki_scrape_manifest.yaml	rewrite	parent file; bare basename of docs/specs/Mission_Creator_Architecture/eden/wiki_manifest.yaml; idx 1; the basename changes, so the bare name becomes the full final path; replace whole-token occurrences only (not preceded by '/', '_', '-', a letter or a digit), after the full-path rows
T-047	approach	agent_execution.md	documentation_v2/website/frontend/apps/editor/decisions.md	rewrite	parent file; bare basename of docs/specs/Mission_Creator_Architecture/agent_execution.md; idx 0; the basename changes, so the bare name becomes the full final path; replace whole-token occurrences only (not preceded by '/', '_', '-', a letter or a digit), after the full-path rows
T-047	approach	wiki_manifest.yaml	documentation_v2/website/frontend/apps/editor/eden_editor_reference/eden_wiki_scrape_manifest.yaml	rewrite	parent file; bare basename of docs/specs/Mission_Creator_Architecture/eden/wiki_manifest.yaml; idx 2; the basename changes, so the bare name becomes the full final path; replace whole-token occurrences only (not preceded by '/', '_', '-', a letter or a digit), after the full-path rows
T-047	verify	wiki_manifest.yaml	documentation_v2/website/frontend/apps/editor/eden_editor_reference/eden_wiki_scrape_manifest.yaml	rewrite	parent file; bare basename of docs/specs/Mission_Creator_Architecture/eden/wiki_manifest.yaml; idx 0; the basename changes, so the bare name becomes the full final path; replace whole-token occurrences only (not preceded by '/', '_', '-', a letter or a digit), after the full-path rows
T-047	acceptance	agent_execution.md	documentation_v2/website/frontend/apps/editor/decisions.md	rewrite	parent file; bare basename of docs/specs/Mission_Creator_Architecture/agent_execution.md; idx 0; the basename changes, so the bare name becomes the full final path; replace whole-token occurrences only (not preceded by '/', '_', '-', a letter or a digit), after the full-path rows
T-047	acceptance	ROADMAP.md	documentation_v2/website/frontend/apps/editor/mission_creator_roadmap.md	rewrite	parent file; bare basename of docs/specs/Mission_Creator_Architecture/ROADMAP.md;docs/website/backend/ROADMAP.md;docs/website/frontend/ROADMAP.md (ambiguous: 3 docs files); idx 0; resolved from the ticket text: the Mission Creator ROADMAP (T-047 points the Mission Creator agents at it); the basename changes, so the bare name becomes the full final path; replace whole-token occurrences only (not preceded by '/', '_', '-', a letter or a digit), after the full-path rows
T-047	acceptance	wiki_manifest.yaml	documentation_v2/website/frontend/apps/editor/eden_editor_reference/eden_wiki_scrape_manifest.yaml	rewrite	parent file; bare basename of docs/specs/Mission_Creator_Architecture/eden/wiki_manifest.yaml; idx 0; the basename changes, so the bare name becomes the full final path; replace whole-token occurrences only (not preceded by '/', '_', '-', a letter or a digit), after the full-path rows
T-047	citations	agent_execution.md	documentation_v2/website/frontend/apps/editor/decisions.md	rewrite	parent file; bare basename of docs/specs/Mission_Creator_Architecture/agent_execution.md; idx 2; the basename changes, so the bare name becomes the full final path; replace whole-token occurrences only (not preceded by '/', '_', '-', a letter or a digit), after the full-path rows
T-048	spec	docs/specs/Mission_Creator_Architecture/t048_library_create_dialog.md	documentation_v2/tickets/specs/t048_library_create_dialog.md	rewrite	parent file; path; manifest move
T-048	citations	t048_library_create_dialog.md	-	keep	parent file; bare basename of docs/specs/Mission_Creator_Architecture/t048_library_create_dialog.md; idx 2; the basename stays (documentation_v2/tickets/specs/t048_library_create_dialog.md)
T-049	spec	docs/specs/Mission_Creator_Architecture/t049_terrain_title_position.md	documentation_v2/tickets/specs/t049_terrain_title_position.md	rewrite	parent file; path; manifest move
T-049	citations	t049_terrain_title_position.md	-	keep	parent file; bare basename of docs/specs/Mission_Creator_Architecture/t049_terrain_title_position.md; idx 2; the basename stays (documentation_v2/tickets/specs/t049_terrain_title_position.md)
T-050	spec	docs/specs/Mission_Creator_Architecture/t050_cursor_z_readout.md	documentation_v2/tickets/specs/t050_cursor_z_readout.md	rewrite	parent file; path; manifest move
T-050	citations	t050_cursor_z_readout.md	-	keep	parent file; bare basename of docs/specs/Mission_Creator_Architecture/t050_cursor_z_readout.md; idx 2; the basename stays (documentation_v2/tickets/specs/t050_cursor_z_readout.md)
T-052	spec	docs/specs/Mission_Creator_Architecture/t052_undo_shortcuts.md	documentation_v2/tickets/specs/t052_undo_shortcuts.md	rewrite	parent file; path; manifest move
T-052	citations	t052_undo_shortcuts.md	-	keep	parent file; bare basename of docs/specs/Mission_Creator_Architecture/t052_undo_shortcuts.md; idx 2; the basename stays (documentation_v2/tickets/specs/t052_undo_shortcuts.md)
T-053	spec	docs/specs/Mission_Creator_Architecture/t053_additive_select.md	documentation_v2/tickets/specs/t053_additive_select.md	rewrite	parent file; path; manifest move
T-053	citations	t053_additive_select.md	-	keep	parent file; bare basename of docs/specs/Mission_Creator_Architecture/t053_additive_select.md; idx 0; the basename stays (documentation_v2/tickets/specs/t053_additive_select.md)
T-053	citations	SHIPPED_HISTORY.md	documentation_v2/archive/shipped_history/shipped_history.md	rewrite	parent file; bare basename of docs/platform/SHIPPED_HISTORY.md; idx 2; the basename changes, so the bare name becomes the full final path; replace whole-token occurrences only (not preceded by '/', '_', '-', a letter or a digit), after the full-path rows
T-054	spec	docs/specs/Mission_Creator_Architecture/t054_attributes_entry_points.md	documentation_v2/tickets/specs/t054_attributes_entry_points.md	rewrite	parent file; path; manifest move
T-054	citations	t054_attributes_entry_points.md	-	keep	parent file; bare basename of docs/specs/Mission_Creator_Architecture/t054_attributes_entry_points.md; idx 0; the basename stays (documentation_v2/tickets/specs/t054_attributes_entry_points.md)
T-054	citations	SHIPPED_HISTORY.md	documentation_v2/archive/shipped_history/shipped_history.md	rewrite	parent file; bare basename of docs/platform/SHIPPED_HISTORY.md; idx 2; the basename changes, so the bare name becomes the full final path; replace whole-token occurrences only (not preceded by '/', '_', '-', a letter or a digit), after the full-path rows
T-055	spec	docs/specs/Mission_Creator_Architecture/t055_asset_browser_search.md	documentation_v2/tickets/specs/t055_asset_browser_search.md	rewrite	parent file; path; manifest move
T-055	citations	t055_asset_browser_search.md	-	keep	parent file; bare basename of docs/specs/Mission_Creator_Architecture/t055_asset_browser_search.md; idx 0; the basename stays (documentation_v2/tickets/specs/t055_asset_browser_search.md)
T-055	citations	SHIPPED_HISTORY.md	documentation_v2/archive/shipped_history/shipped_history.md	rewrite	parent file; bare basename of docs/platform/SHIPPED_HISTORY.md; idx 2; the basename changes, so the bare name becomes the full final path; replace whole-token occurrences only (not preceded by '/', '_', '-', a letter or a digit), after the full-path rows
T-056	spec	docs/specs/Mission_Creator_Architecture/t056_copy_paste.md	documentation_v2/tickets/specs/t056_copy_paste.md	rewrite	parent file; path; manifest move
T-056	citations	t056_copy_paste.md	-	keep	parent file; bare basename of docs/specs/Mission_Creator_Architecture/t056_copy_paste.md; idx 0; the basename stays (documentation_v2/tickets/specs/t056_copy_paste.md)
T-056	citations	SHIPPED_HISTORY.md	documentation_v2/archive/shipped_history/shipped_history.md	rewrite	parent file; bare basename of docs/platform/SHIPPED_HISTORY.md; idx 2; the basename changes, so the bare name becomes the full final path; replace whole-token occurrences only (not preceded by '/', '_', '-', a letter or a digit), after the full-path rows
T-057	spec	docs/specs/Mission_Creator_Architecture/t057_map_performance_hotfix.md	documentation_v2/tickets/specs/t057_map_performance_hotfix.md	rewrite	parent file; path; manifest move
T-057	citations	t057_map_performance_hotfix.md	-	keep	parent file; bare basename of docs/specs/Mission_Creator_Architecture/t057_map_performance_hotfix.md; idx 0; the basename stays (documentation_v2/tickets/specs/t057_map_performance_hotfix.md)
T-057	citations	SHIPPED_HISTORY.md	documentation_v2/archive/shipped_history/shipped_history.md	rewrite	parent file; bare basename of docs/platform/SHIPPED_HISTORY.md; idx 2; the basename changes, so the bare name becomes the full final path; replace whole-token occurrences only (not preceded by '/', '_', '-', a letter or a digit), after the full-path rows
T-058	spec	docs/specs/Mission_Creator_Architecture/t058_entity_count_readout.md	documentation_v2/tickets/specs/t058_entity_count_readout.md	rewrite	parent file; path; manifest move
T-058	citations	t058_entity_count_readout.md	-	keep	parent file; bare basename of docs/specs/Mission_Creator_Architecture/t058_entity_count_readout.md; idx 2; the basename stays (documentation_v2/tickets/specs/t058_entity_count_readout.md)
T-059	spec	docs/specs/Mission_Creator_Architecture/t059_bulk_paste_operations.md	documentation_v2/tickets/specs/t059_bulk_paste_operations.md	rewrite	parent file; path; manifest move
T-059	citations	t059_bulk_paste_operations.md	-	keep	parent file; bare basename of docs/specs/Mission_Creator_Architecture/t059_bulk_paste_operations.md; idx 2; the basename stays (documentation_v2/tickets/specs/t059_bulk_paste_operations.md)
T-060	spec	docs/specs/Mission_Creator_Architecture/t060_fast_initial_load.md	documentation_v2/tickets/specs/t060_fast_initial_load.md	rewrite	parent file; path; manifest move
T-060	citations	t060_fast_initial_load.md	-	keep	parent file; bare basename of docs/specs/Mission_Creator_Architecture/t060_fast_initial_load.md; idx 2; the basename stays (documentation_v2/tickets/specs/t060_fast_initial_load.md)
T-061	spec	docs/specs/Mission_Creator_Architecture/t061_drag_move_hotfix.md	documentation_v2/tickets/specs/t061_drag_move_hotfix.md	rewrite	parent file; path; manifest move
T-061	citations	t061_drag_move_hotfix.md	-	keep	parent file; bare basename of docs/specs/Mission_Creator_Architecture/t061_drag_move_hotfix.md; idx 2; the basename stays (documentation_v2/tickets/specs/t061_drag_move_hotfix.md)
T-062	spec	docs/specs/Mission_Creator_Architecture/t062_incremental_bindings.md	documentation_v2/tickets/specs/t062_incremental_bindings.md	rewrite	parent file; path; manifest move
T-062	citations	t062_incremental_bindings.md	-	keep	parent file; bare basename of docs/specs/Mission_Creator_Architecture/t062_incremental_bindings.md; idx 2; the basename stays (documentation_v2/tickets/specs/t062_incremental_bindings.md)
T-063	spec	docs/specs/Mission_Creator_Architecture/t063_spatial_index.md	documentation_v2/tickets/specs/t063_spatial_index.md	rewrite	parent file; path; manifest move
T-063	citations	t063_spatial_index.md	-	keep	parent file; bare basename of docs/specs/Mission_Creator_Architecture/t063_spatial_index.md; idx 0; the basename stays (documentation_v2/tickets/specs/t063_spatial_index.md)
T-064	spec	docs/specs/Mission_Creator_Architecture/t064_virtualized_outliner.md	documentation_v2/tickets/specs/t064_virtualized_outliner.md	rewrite	parent file; path; manifest move
T-064	citations	t064_virtualized_outliner.md	-	keep	parent file; bare basename of docs/specs/Mission_Creator_Architecture/t064_virtualized_outliner.md; idx 0; the basename stays (documentation_v2/tickets/specs/t064_virtualized_outliner.md)
T-065	spec	docs/specs/Mission_Creator_Architecture/t065_cluster_lod.md	documentation_v2/tickets/specs/t065_cluster_lod.md	rewrite	parent file; path; manifest move
T-065	citations	t065_cluster_lod.md	-	keep	parent file; bare basename of docs/specs/Mission_Creator_Architecture/t065_cluster_lod.md; idx 0; the basename stays (documentation_v2/tickets/specs/t065_cluster_lod.md)
T-066	spec	docs/specs/Mission_Creator_Architecture/t066_worker_compile.md	documentation_v2/tickets/specs/t066_worker_compile.md	rewrite	parent file; path; manifest move
T-066	citations	t066_worker_compile.md	-	keep	parent file; bare basename of docs/specs/Mission_Creator_Architecture/t066_worker_compile.md; idx 0; the basename stays (documentation_v2/tickets/specs/t066_worker_compile.md)
T-067	spec	docs/specs/Mission_Creator_Architecture/t067_spatial_chunks.md	documentation_v2/tickets/specs/t067_spatial_chunks.md	rewrite	parent file; path; manifest move
T-067.0	citations	t067_spatial_chunks.md	-	keep	child file; bare basename of docs/specs/Mission_Creator_Architecture/t067_spatial_chunks.md; idx 0; the basename stays (documentation_v2/tickets/specs/t067_spatial_chunks.md)
T-067.0	citations	SHIPPED_HISTORY.md	documentation_v2/archive/shipped_history/shipped_history.md	rewrite	child file; bare basename of docs/platform/SHIPPED_HISTORY.md; idx 1; the basename changes, so the bare name becomes the full final path; replace whole-token occurrences only (not preceded by '/', '_', '-', a letter or a digit), after the full-path rows
T-067.0.1	citations	t067_spatial_chunks.md	-	keep	child file; bare basename of docs/specs/Mission_Creator_Architecture/t067_spatial_chunks.md; idx 0; the basename stays (documentation_v2/tickets/specs/t067_spatial_chunks.md)
T-067.1	spec	docs/specs/ideas/t067_1_chunk_eviction.md	documentation_v2/tickets/specs/t067_1_chunk_eviction.md	rewrite	child file; path; manifest move
T-067.1	plan	docs/plans/t-067_1_plan.md	documentation_v2/tickets/plans/t-067_1_plan.md	rewrite	child file; path; manifest move
T-068	summary	t068_virtual_arsenal_program.md	-	keep	parent file; bare basename of docs/specs/Mission_Creator_Architecture/t068_virtual_arsenal_program.md; the basename stays (documentation_v2/tickets/specs/t068_virtual_arsenal_program.md)
T-068	summary	t068_15_cargo_program.md	-	keep	parent file; bare basename of docs/specs/Mission_Creator_Architecture/t068_15_cargo_program.md; the basename stays (documentation_v2/tickets/specs/t068_15_cargo_program.md)
T-068	spec	docs/specs/Mission_Creator_Architecture/t068_virtual_arsenal_program.md	documentation_v2/tickets/specs/t068_virtual_arsenal_program.md	rewrite	parent file; path; manifest move
T-068.0	citations	t068_virtual_arsenal_program.md	-	keep	child file; bare basename of docs/specs/Mission_Creator_Architecture/t068_virtual_arsenal_program.md; idx 0; the basename stays (documentation_v2/tickets/specs/t068_virtual_arsenal_program.md)
