source	target	action	class	writer	note
apps/website/frontend/src/v2/pages/command_center/server_intel/page.md	documentation_v2/pending_merge/F02/command_center__server_intel__page.md	merge-into	live-rewrite	F02	documentation_v2/website/frontend/pages/command_center/server_intel/server_intel_page.md
apps/website/frontend/src/v2/pages/doctrine_and_info/modpacks/page.md	documentation_v2/pending_merge/F03/doctrine_and_info__modpacks__page.md	merge-into	live-rewrite	F03	documentation_v2/website/frontend/pages/doctrine_and_info/modpacks/modpacks_page.md
apps/website/frontend/src/v2/pages/doctrine_and_info/vehicles/page.md	documentation_v2/pending_merge/F03/doctrine_and_info__vehicles__page.md	merge-into	live-rewrite	F03	documentation_v2/website/frontend/pages/doctrine_and_info/vehicles/vehicle_database_page.md
apps/website/frontend/src/v2/pages/doctrine_and_info/wiki/page.md	documentation_v2/pending_merge/F03/doctrine_and_info__wiki__page.md	merge-into	live-rewrite	F03	documentation_v2/website/frontend/pages/doctrine_and_info/wiki/wiki_page.md
apps/website/frontend/src/v2/pages/field_tools/mortar/page.md	documentation_v2/pending_merge/F03/field_tools__mortar__page.md	merge-into	live-rewrite	F03	documentation_v2/website/frontend/pages/field_tools/mortar/mortar_calculator_page.md
apps/website/frontend/src/v2/pages/mission_hub/library/page.md	documentation_v2/pending_merge/F03/mission_hub__library__page.md	merge-into	live-rewrite	F03	documentation_v2/website/frontend/pages/mission_hub/library/mission_library_page.md
apps/website/frontend/src/v2/pages/mission_hub/overview/page.md	documentation_v2/pending_merge/F03/mission_hub__overview__page.md	merge-into	live-rewrite	F03	documentation_v2/website/frontend/pages/mission_hub/overview/mission_overview_page.md
apps/website/frontend/src/v2/pages/mission_hub/review_workspace/page.md	documentation_v2/pending_merge/F03/mission_hub__review_workspace__page.md	merge-into	live-rewrite	F03	documentation_v2/website/frontend/pages/mission_hub/review_workspace/review_workspace_page.md
apps/website/frontend/src/v2/pages/navigation/layout.md	documentation_v2/pending_merge/F04/layout.md	merge-into	live-rewrite	F04	documentation_v2/website/frontend/pages/navigation/app_layout_and_navigation.md
apps/website/frontend/src/v2/pages/navigation/nav_config.md	documentation_v2/pending_merge/F04/nav_config.md	merge-into	live-rewrite	F04	documentation_v2/website/frontend/pages/navigation/app_layout_and_navigation.md
apps/website/frontend/src/v2/pages/operations/event_detail/page.md	documentation_v2/pending_merge/F02/operations__event_detail__page.md	merge-into	live-rewrite	F02	documentation_v2/website/frontend/pages/operations/event_detail/event_hub_page.md
apps/website/frontend/src/v2/pages/operations/orbat_selection/page.md	documentation_v2/pending_merge/F02/operations__orbat_selection__page.md	merge-into	live-rewrite	F02	documentation_v2/website/frontend/pages/operations/orbat_selection/orbat_selection_page.md
apps/website/frontend/src/v2/pages/operations/schedule/page.md	documentation_v2/pending_merge/F02/operations__schedule__page.md	merge-into	live-rewrite	F02	documentation_v2/website/frontend/pages/operations/schedule/event_schedule_page.md
assets_v2/ANALYSIS_AND_INVENTORY.md	documentation_v2/archive/assets_v2_relocation/analysis_and_inventory.md	archive	archive	-	-
assets_v2/ARCHITECTURE_PLAN.md	documentation_v2/archive/assets_v2_relocation/architecture_plan.md	archive	archive	-	-
assets_v2/MIGRATION_HANDOFF.md	documentation_v2/archive/assets_v2_relocation/migration_handoff.md	archive	archive	-	-
contracts_v2/ANALYSIS_AND_INVENTORY.md	documentation_v2/archive/contracts_v2_relocation/analysis_and_inventory.md	archive	archive	-	-
contracts_v2/ARCHITECTURE_PLAN.md	documentation_v2/archive/contracts_v2_relocation/architecture_plan.md	archive	archive	-	-
contracts_v2/MIGRATION_HANDOFF.md	documentation_v2/archive/contracts_v2_relocation/migration_handoff.md	archive	archive	-	-
contracts_v2/definitions/bridge-messages.md	documentation_v2/contracts_v2/definitions/bridge_messages.md	move+rename	live-rewrite	F12	cited by apps/mod/tbd-framework/Scripts/Game/TBD/Systems/Radio/TBD_RadioBridgeStub.c:8 and contracts_v2/definitions/README.md:69
docs/MILESTONES.md	-	done-by-P1-2	data	-	generated by ticket sync, view constant MILESTONES (tools_v2/ticket-engine/src/repository.rs:183); P1-2 retires the writer and deletes the file
docs/TICKET_BRAINSTORM.md	-	done-by-P1-2	data	-	generated by ticket sync, view constant TICKET_BRAINSTORM_VIEW (tools_v2/ticket-engine/src/repository.rs:177); P1-2 retires the writer and deletes the file
docs/TICKET_DEV_QUEUE.md	-	done-by-P1-2	data	-	generated by ticket sync, view constant TICKET_DEV_QUEUE_VIEW (tools_v2/ticket-engine/src/repository.rs:174); P1-2 retires the writer and deletes the file
docs/TICKET_LEAD.md	-	done-by-P1-2	data	-	generated by ticket sync, view constant TICKET_LEAD_VIEW (tools_v2/ticket-engine/src/repository.rs:171); P1-2 retires the writer and deletes the file
docs/TICKET_MOD_QUEUE.md	-	done-by-P1-2	data	-	generated by ticket sync, view constant TICKET_MOD_QUEUE_VIEW (tools_v2/ticket-engine/src/repository.rs:180); P1-2 retires the writer and deletes the file
docs/TICKET_REGISTRY.md	-	done-by-P1-2	data	-	generated by ticket sync, view constant TICKET_REGISTRY_VIEW (tools_v2/ticket-engine/src/repository.rs:168); P1-2 retires the writer and deletes the file
docs/mod/CLAUDE-CODE-START.md	documentation_v2/pending_merge/F15/CLAUDE-CODE-START.md	merge-into	live-rewrite	F15	documentation_v2/runbooks/mod_slice_workflow.md
docs/mod/CLAUDE-CONTINUATION.md	documentation_v2/archive/handoffs_and_kickoffs/mod_claude_continuation.md	archive	archive	-	-
docs/mod/MCP_TOOLING.md	documentation_v2/runbooks/enfusion_mcp_tooling.md	move+rename	live-rewrite	F14	-
docs/mod/MILESTONES.md	documentation_v2/archive/product_plans/mod_milestones.md	archive	archive	-	F19 extracts its milestones into documentation_v2/product_roadmap.md; its MOD_MILESTONES constant (tools_v2/ticket-engine/src/repository.rs:186) is removed by P1-2
docs/mod/README.md	documentation_v2/mod/README.md	move	live-rewrite	F11	ORDER:2 the draft vacates the target first
docs/mod/SLICE_WORKFLOW.md	documentation_v2/runbooks/mod_slice_workflow.md	move+rename	live-rewrite	F15	pinned by SLICE_WORKFLOW_RUNBOOK (tools_v2/xtask/src/core/repository_layout.rs:88); rule 1, §Oracle lanes, §Sources and §What agents cannot do cited by code; its @idx lines leave the enf citations walk
docs/mod/SPAWN_DETERMINISM.md	documentation_v2/runbooks/spawn_determinism.md	move+rename	live-rewrite	F14	pinned by SPAWN_DETERMINISM_RUNBOOK (tools_v2/xtask/src/core/repository_layout.rs:97)
docs/mod/STAGING-SERVER.md	documentation_v2/runbooks/game_server_staging/README.md	move+rename	live-rewrite	F14	pinned by STAGING_SERVER_RUNBOOK (tools_v2/xtask/src/core/repository_layout.rs:85); 811 lines, split
docs/mod/TBD_MOD_DESIGN.md	documentation_v2/mod/tbd-framework/mod_design.md	move+rename	live-rewrite	F10	pinned by MOD_DESIGN (tools_v2/xtask/src/core/repository_layout.rs:94) and the enf citations walk of MOD_DOCS_DIR (tools_v2/developer-tools/src/repository_layout.rs:278); @idx citations; §2, §5, §6 and §Deferrals cited by EnfScript and developer-tools comments
docs/mod/VERIFY_AGENT_PROMPT.md	documentation_v2/pending_merge/F15/VERIFY_AGENT_PROMPT.md	merge-into	live-rewrite	F15	documentation_v2/runbooks/mod_slice_workflow.md
docs/mod/capability_verdicts.tsv	documentation_v2/mod/tbd-framework/capability_verdicts.tsv	move	data	-	pinned by CAPABILITY_VERDICTS (tools_v2/developer-tools/src/repository_layout.rs:282)
docs/mod/discord-milestone-1-post.md	documentation_v2/archive/product_plans/discord_milestone_1_post.md	archive	archive	-	F19 reads it for documentation_v2/product_roadmap.md
docs/mod/t181_event_mod_program.md	documentation_v2/tickets/specs/t181_event_mod_program.md	move	frozen	-	-
docs/mod/tbd-reforger-platform-build-plan.md	documentation_v2/archive/product_plans/tbd_reforger_platform_build_plan.md	archive	archive	-	F19 extracts its items into documentation_v2/product_roadmap.md; the operator strikes at CP4
docs/mod/ui/UI_STRUCTURE.md	documentation_v2/mod/tbd-framework/UI/README.md	move+rename	live-rewrite	F10	cited by EnfScript comments (apps/mod/tbd-framework/Scripts/Game/TBD/UI/Core/TBD_UILayouts.c:9, apps/mod/tbd-framework/Scripts/Game/TBD/Session/MissionSelector/TBD_MissionSelectorData.c:4, apps/mod/tbd-framework/Scripts/Game/TBD/Session/Players/TBD_PlayersCatalog.c:3)
docs/mod/ui/ui_referances/UI_REFERENCES.md	documentation_v2/pending_merge/F10/UI_REFERENCES.md	merge-into	live-rewrite	F10	documentation_v2/mod/tbd-framework/UI/README.md
docs/mod/ui/ui_referances/admin_help_ticket_spec.md	documentation_v2/mod/tbd-framework/UI/admin_help_ticket/admin_help_ticket_specification.md	move+rename	live-rewrite	F10	-
docs/mod/ui/ui_referances/briefing_ui/briefiing_vehicle_inventory.png	documentation_v2/mod/tbd-framework/UI/briefing/visual_references/reference_screenshots/briefing_vehicle_inventory.png	move+rename	data	-	reference screenshot of the briefing screen; folder README by F10; file name spelling fixed (the briefing spec cites briefiing_vehicle_inventory.png)
docs/mod/ui/ui_referances/briefing_ui/briefing_conditions_rules.png	documentation_v2/mod/tbd-framework/UI/briefing/visual_references/reference_screenshots/briefing_conditions_rules.png	move	data	-	reference screenshot of the briefing screen; folder README by F10
docs/mod/ui/ui_referances/briefing_ui/briefing_enemy_assets.png	documentation_v2/mod/tbd-framework/UI/briefing/visual_references/reference_screenshots/briefing_enemy_assets.png	move	data	-	reference screenshot of the briefing screen; folder README by F10
docs/mod/ui/ui_referances/briefing_ui/briefing_friendly_assets.png	documentation_v2/mod/tbd-framework/UI/briefing/visual_references/reference_screenshots/briefing_friendly_assets.png	move	data	-	reference screenshot of the briefing screen; folder README by F10
docs/mod/ui/ui_referances/briefing_ui/briefing_friendly_squad_list.png	documentation_v2/mod/tbd-framework/UI/briefing/visual_references/reference_screenshots/briefing_friendly_squad_list.png	move	data	-	reference screenshot of the briefing screen; folder README by F10
docs/mod/ui/ui_referances/briefing_ui/briefing_lore.png	documentation_v2/mod/tbd-framework/UI/briefing/visual_references/reference_screenshots/briefing_lore.png	move	data	-	reference screenshot of the briefing screen; folder README by F10
docs/mod/ui/ui_referances/briefing_ui/briefing_marker_log.png	documentation_v2/mod/tbd-framework/UI/briefing/visual_references/reference_screenshots/briefing_marker_log.png	move	data	-	reference screenshot of the briefing screen; folder README by F10
docs/mod/ui/ui_referances/briefing_ui/briefing_menu.png	documentation_v2/mod/tbd-framework/UI/briefing/visual_references/reference_screenshots/briefing_menu.png	move	data	-	reference screenshot of the briefing screen; folder README by F10
docs/mod/ui/ui_referances/briefing_ui/briefing_mission_parameters.png	documentation_v2/mod/tbd-framework/UI/briefing/visual_references/reference_screenshots/briefing_mission_parameters.png	move	data	-	reference screenshot of the briefing screen; folder README by F10
docs/mod/ui/ui_referances/briefing_ui/briefing_personal_squad_roster_and_inventory.png	documentation_v2/mod/tbd-framework/UI/briefing/visual_references/reference_screenshots/briefing_personal_squad_roster_and_inventory.png	move	data	-	reference screenshot of the briefing screen; folder README by F10
docs/mod/ui/ui_referances/briefing_ui/briefing_player_list.png	documentation_v2/mod/tbd-framework/UI/briefing/visual_references/reference_screenshots/briefing_player_list.png	move	data	-	reference screenshot of the briefing screen; folder README by F10
docs/mod/ui/ui_referances/briefing_ui/briefing_squad_frequencies.png	documentation_v2/mod/tbd-framework/UI/briefing/visual_references/reference_screenshots/briefing_squad_frequencies.png	move	data	-	reference screenshot of the briefing screen; folder README by F10
docs/mod/ui/ui_referances/briefing_ui/briefing_task_parameters.png	documentation_v2/mod/tbd-framework/UI/briefing/visual_references/reference_screenshots/briefing_task_parameters.png	move	data	-	reference screenshot of the briefing screen; folder README by F10
docs/mod/ui/ui_referances/briefing_ui/briefing_tasks.png	documentation_v2/mod/tbd-framework/UI/briefing/visual_references/reference_screenshots/briefing_tasks.png	move	data	-	reference screenshot of the briefing screen; folder README by F10
docs/mod/ui/ui_referances/briefing_ui/briefing_uniforms.png	documentation_v2/mod/tbd-framework/UI/briefing/visual_references/reference_screenshots/briefing_uniforms.png	move	data	-	reference screenshot of the briefing screen; folder README by F10
docs/mod/ui/ui_referances/briefing_ui/briefing_uniforms_2.png	documentation_v2/mod/tbd-framework/UI/briefing/visual_references/reference_screenshots/briefing_uniforms_2.png	move	data	-	reference screenshot of the briefing screen; folder README by F10
docs/mod/ui/ui_referances/briefing_ui_spec.md	documentation_v2/mod/tbd-framework/UI/briefing/briefing_specification.md	move+rename	live-rewrite	F10	553 lines, F10 splits it
docs/mod/ui/ui_referances/debrief_aar_ui_spec.md	documentation_v2/mod/tbd-framework/UI/debrief_after_action_review/debrief_after_action_review_specification.md	move+rename	live-rewrite	F10	-
docs/mod/ui/ui_referances/discord_identity_link_spec.md	documentation_v2/mod/tbd-framework/UI/discord_identity_link/discord_identity_link_specification.md	move+rename	live-rewrite	F10	-
docs/mod/ui/ui_referances/end_screen_ui_spec.md	documentation_v2/mod/tbd-framework/UI/end_screen/end_screen_specification.md	move+rename	live-rewrite	F10	-
docs/mod/ui/ui_referances/ingame_menu/admin_chat.png	documentation_v2/mod/tbd-framework/UI/in_game_menu/visual_references/reference_screenshots/admin_chat.png	move	data	-	reference screenshot of the in_game_menu screen; folder README by F10
docs/mod/ui/ui_referances/ingame_menu/admin_heal_repair.png	documentation_v2/mod/tbd-framework/UI/in_game_menu/visual_references/reference_screenshots/admin_heal_repair.png	move	data	-	reference screenshot of the in_game_menu screen; folder README by F10
docs/mod/ui/ui_referances/ingame_menu/admin_home.png	documentation_v2/mod/tbd-framework/UI/in_game_menu/visual_references/reference_screenshots/admin_home.png	move	data	-	reference screenshot of the in_game_menu screen; folder README by F10
docs/mod/ui/ui_referances/ingame_menu/admin_kick_ban.png	documentation_v2/mod/tbd-framework/UI/in_game_menu/visual_references/reference_screenshots/admin_kick_ban.png	move	data	-	reference screenshot of the in_game_menu screen; folder README by F10
docs/mod/ui/ui_referances/ingame_menu/admin_radio.png	documentation_v2/mod/tbd-framework/UI/in_game_menu/visual_references/reference_screenshots/admin_radio.png	move	data	-	reference screenshot of the in_game_menu screen; folder README by F10
docs/mod/ui/ui_referances/ingame_menu/admin_server_and_other.png	documentation_v2/mod/tbd-framework/UI/in_game_menu/visual_references/reference_screenshots/admin_server_and_other.png	move	data	-	reference screenshot of the in_game_menu screen; folder README by F10
docs/mod/ui/ui_referances/ingame_menu/admin_spawner.png	documentation_v2/mod/tbd-framework/UI/in_game_menu/visual_references/reference_screenshots/admin_spawner.png	move	data	-	reference screenshot of the in_game_menu screen; folder README by F10
docs/mod/ui/ui_referances/ingame_menu/admin_spawner_1.png	documentation_v2/mod/tbd-framework/UI/in_game_menu/visual_references/reference_screenshots/admin_spawner_1.png	move	data	-	reference screenshot of the in_game_menu screen; folder README by F10
docs/mod/ui/ui_referances/ingame_menu/admin_spawner_2.png	documentation_v2/mod/tbd-framework/UI/in_game_menu/visual_references/reference_screenshots/admin_spawner_2.png	move	data	-	reference screenshot of the in_game_menu screen; folder README by F10
docs/mod/ui/ui_referances/ingame_menu/admin_spawner_3.png	documentation_v2/mod/tbd-framework/UI/in_game_menu/visual_references/reference_screenshots/admin_spawner_3.png	move	data	-	reference screenshot of the in_game_menu screen; folder README by F10
docs/mod/ui/ui_referances/ingame_menu/admin_teleport.png	documentation_v2/mod/tbd-framework/UI/in_game_menu/visual_references/reference_screenshots/admin_teleport.png	move	data	-	reference screenshot of the in_game_menu screen; folder README by F10
docs/mod/ui/ui_referances/ingame_menu/home_menu.png	documentation_v2/mod/tbd-framework/UI/in_game_menu/visual_references/reference_screenshots/home_menu.png	move	data	-	reference screenshot of the in_game_menu screen; folder README by F10
docs/mod/ui/ui_referances/ingame_menu/home_menu_after_start.png	documentation_v2/mod/tbd-framework/UI/in_game_menu/visual_references/reference_screenshots/home_menu_after_start.png	move	data	-	reference screenshot of the in_game_menu screen; folder README by F10
docs/mod/ui/ui_referances/ingame_menu/home_menu_before_start.png	documentation_v2/mod/tbd-framework/UI/in_game_menu/visual_references/reference_screenshots/home_menu_before_start.png	move	data	-	reference screenshot of the in_game_menu screen; folder README by F10
docs/mod/ui/ui_referances/ingame_menu/player_options.png	documentation_v2/mod/tbd-framework/UI/in_game_menu/visual_references/reference_screenshots/player_options.png	move	data	-	reference screenshot of the in_game_menu screen; folder README by F10
docs/mod/ui/ui_referances/ingame_menu_ui_spec.md	documentation_v2/mod/tbd-framework/UI/in_game_menu/in_game_menu_specification.md	move+rename	live-rewrite	F10	-
docs/mod/ui/ui_referances/lobby_screen.png	documentation_v2/mod/tbd-framework/UI/lobby/visual_references/reference_screenshots/lobby_screen.png	move	data	-	reference screenshot of the lobby screen; folder README by F10
docs/mod/ui/ui_referances/lobby_ui_spec.md	documentation_v2/mod/tbd-framework/UI/lobby/lobby_specification.md	move+rename	live-rewrite	F10	-
docs/mod/ui/ui_referances/mission_selection.png	documentation_v2/mod/tbd-framework/UI/mission_selection/visual_references/reference_screenshots/mission_selection.png	move	data	-	reference screenshot of the mission_selection screen; folder README by F10
docs/mod/ui/ui_referances/mission_selection_ui_spec.md	documentation_v2/mod/tbd-framework/UI/mission_selection/mission_selection_specification.md	move+rename	live-rewrite	F10	-
docs/mod/ui/ui_referances/objective_capture_hud_spec.md	documentation_v2/mod/tbd-framework/UI/objective_capture_hud/objective_capture_hud_specification.md	move+rename	live-rewrite	F10	-
docs/mod/ui/ui_referances/play_area_warning_spec.md	documentation_v2/mod/tbd-framework/UI/play_area_warning/play_area_warning_specification.md	move+rename	live-rewrite	F10	-
docs/mod/ui/ui_referances/safestart_hud_spec.md	documentation_v2/mod/tbd-framework/UI/safe_start_hud/safe_start_hud_specification.md	move+rename	live-rewrite	F10	-
docs/mod/ui/ui_referances/spectator_ui/spectator_death_and_kill_info.png	documentation_v2/mod/tbd-framework/UI/spectator/visual_references/reference_screenshots/spectator_death_and_kill_info.png	move	data	-	reference screenshot of the spectator screen; folder README by F10
docs/mod/ui/ui_referances/spectator_ui/spectator_mines_playercount.png	documentation_v2/mod/tbd-framework/UI/spectator/visual_references/reference_screenshots/spectator_mines_playercount.png	move	data	-	reference screenshot of the spectator screen; folder README by F10
docs/mod/ui/ui_referances/spectator_ui_spec.md	documentation_v2/mod/tbd-framework/UI/spectator/spectator_specification.md	move+rename	live-rewrite	F10	-
docs/mod/ui/ui_referances/tactical_marker_palette_spec.md	documentation_v2/mod/tbd-framework/UI/tactical_marker_palette/tactical_marker_palette_specification.md	move+rename	live-rewrite	F10	-
docs/mod/ui/ui_stitch_mockup/stitch_tbd_reforger_ui_mod_ingame_hud/dark_tactical_operations/DESIGN.md	documentation_v2/design_system/token_exports/dark_tactical_operations_design_tokens.md	move+rename	live-rewrite	F17	Stitch token export of the mod in-game HUD (spectator) mockups
docs/mod/ui/ui_stitch_mockup/stitch_tbd_reforger_ui_mod_ingame_hud/tbd_reforger_combat_details_panel_tactical_wireframe_forensics/code.html	documentation_v2/mod/tbd-framework/UI/spectator/visual_references/combat_details_panel_tactical_wireframe_forensics_mockup/combat_details_panel_tactical_wireframe_forensics_mockup.html	move+rename	data	-	set combat_details_panel_tactical_wireframe_forensics_mockup: Stitch in-game HUD panel for the spectator screen; set README by F10
docs/mod/ui/ui_stitch_mockup/stitch_tbd_reforger_ui_mod_ingame_hud/tbd_reforger_combat_details_panel_tactical_wireframe_forensics/screen.png	documentation_v2/mod/tbd-framework/UI/spectator/visual_references/combat_details_panel_tactical_wireframe_forensics_mockup/combat_details_panel_tactical_wireframe_forensics_mockup.png	move+rename	data	-	set combat_details_panel_tactical_wireframe_forensics_mockup: Stitch in-game HUD panel for the spectator screen; set README by F10
docs/mod/ui/ui_stitch_mockup/stitch_tbd_reforger_ui_mod_ingame_hud/tbd_reforger_spectator_bottom_bar_split_faction_top_bar/code.html	documentation_v2/mod/tbd-framework/UI/spectator/visual_references/spectator_bottom_bar_split_faction_top_bar_mockup/spectator_bottom_bar_split_faction_top_bar_mockup.html	move+rename	data	-	set spectator_bottom_bar_split_faction_top_bar_mockup: Stitch in-game HUD panel for the spectator screen; set README by F10
docs/mod/ui/ui_stitch_mockup/stitch_tbd_reforger_ui_mod_ingame_hud/tbd_reforger_spectator_bottom_bar_split_faction_top_bar/screen.png	documentation_v2/mod/tbd-framework/UI/spectator/visual_references/spectator_bottom_bar_split_faction_top_bar_mockup/spectator_bottom_bar_split_faction_top_bar_mockup.png	move+rename	data	-	set spectator_bottom_bar_split_faction_top_bar_mockup: Stitch in-game HUD panel for the spectator screen; set README by F10
docs/mod/ui/ui_stitch_mockup/stitch_tbd_reforger_ui_mod_ingame_hud/tbd_reforger_spectator_tactical_roster_panel_sidebar/code.html	documentation_v2/mod/tbd-framework/UI/spectator/visual_references/spectator_tactical_roster_panel_sidebar_mockup/spectator_tactical_roster_panel_sidebar_mockup.html	move+rename	data	-	set spectator_tactical_roster_panel_sidebar_mockup: Stitch in-game HUD panel for the spectator screen; set README by F10
docs/mod/ui/ui_stitch_mockup/stitch_tbd_reforger_ui_mod_ingame_hud/tbd_reforger_spectator_tactical_roster_panel_sidebar/screen.png	documentation_v2/mod/tbd-framework/UI/spectator/visual_references/spectator_tactical_roster_panel_sidebar_mockup/spectator_tactical_roster_panel_sidebar_mockup.png	move+rename	data	-	set spectator_tactical_roster_panel_sidebar_mockup: Stitch in-game HUD panel for the spectator screen; set README by F10
docs/mod/ui/ui_stitch_mockup/stitch_tbd_reforger_ui_mod_ingame_hud/tbd_reforger_spectator_top_bar_broadcast_glass_pod/code.html	documentation_v2/mod/tbd-framework/UI/spectator/visual_references/spectator_top_bar_broadcast_glass_pod_mockup/spectator_top_bar_broadcast_glass_pod_mockup.html	move+rename	data	-	set spectator_top_bar_broadcast_glass_pod_mockup: Stitch in-game HUD panel for the spectator screen; set README by F10
docs/mod/ui/ui_stitch_mockup/stitch_tbd_reforger_ui_mod_ingame_hud/tbd_reforger_spectator_top_bar_broadcast_glass_pod/screen.png	documentation_v2/mod/tbd-framework/UI/spectator/visual_references/spectator_top_bar_broadcast_glass_pod_mockup/spectator_top_bar_broadcast_glass_pod_mockup.png	move+rename	data	-	set spectator_top_bar_broadcast_glass_pod_mockup: Stitch in-game HUD panel for the spectator screen; set README by F10
docs/mod/ui/ui_stitch_mockup/stitch_tbd_reforger_ui_mod_ingame_menu/tbd_reforger_admin_chat_panel_standalone/code.html	documentation_v2/mod/tbd-framework/UI/in_game_menu/visual_references/admin_chat_panel_mockup/admin_chat_panel_mockup.html	move+rename	data	-	set admin_chat_panel_mockup: Stitch in-game menu panel for the in_game_menu screen; set README by F10
docs/mod/ui/ui_stitch_mockup/stitch_tbd_reforger_ui_mod_ingame_menu/tbd_reforger_admin_chat_panel_standalone/screen.png	documentation_v2/mod/tbd-framework/UI/in_game_menu/visual_references/admin_chat_panel_mockup/admin_chat_panel_mockup.png	move+rename	data	-	set admin_chat_panel_mockup: Stitch in-game menu panel for the in_game_menu screen; set README by F10
