modded_class	vanilla_base	file	line
SCR_AIGroup		Scripts/Game/Systems/VanillaOverrides/CRF_SCR_AIGroups.c	1
SCR_BaseCompartmentManagerComponent		Scripts/Game/Systems/VanillaOverrides/CRF_SCR_BaseCompartmentManagerComponent.c	1
SCR_Faction		Scripts/Game/Systems/VanillaOverrides/CRF_SCR_Faction.c	1
SCR_FactionCallsignInfo		Scripts/Game/Systems/VanillaOverrides/CRF_SCR_FactionCallsignInfo.c	2
SCR_CallsignInfo		Scripts/Game/Systems/VanillaOverrides/CRF_SCR_FactionCallsignInfo.c	12
SCR_FactionManager		Scripts/Game/Systems/VanillaOverrides/CRF_SCR_FactionManager.c	2
SCR_ItemPlacementComponent	ScriptComponent	Scripts/Game/Systems/VanillaOverrides/CRF_SCR_ItemPlacementComponent.c	2
SCR_MissionHeader		Scripts/Game/Systems/VanillaOverrides/CRF_SCR_MissionHeader.c	1
SCR_PossessSpawnHandlerComponent		Scripts/Game/Systems/VanillaOverrides/CRF_SCR_PossessSpawnHandlerComponent.c	1
SCR_SeizingComponent		Scripts/Game/Systems/VanillaOverrides/CRF_SCR_SeizingComponent.c	1
SCR_TimeAndWeatherHandlerComponent		Scripts/Game/Systems/VanillaOverrides/CRF_SCR_TimeAndWeatherHandlerComponent.c	1
Vehicle		Scripts/Game/Systems/VanillaOverrides/CRF_SCR_Vehicle.c	1
SCR_CharacterStaminaComponent	CharacterStaminaComponent	Scripts/Game/Systems/VanillaOverrides/Character/CRF_SCR_CharacterStaminaComponent.c	1
SCR_MeleeComponent		Scripts/Game/Systems/VanillaOverrides/Character/CRF_SCR_MeleeComponent.c	1
SCR_DataCollectorComponent		Scripts/Game/Systems/VanillaOverrides/DataCollector/CRF_SCR_DataCollectorComponent.c	4
SCR_DataCollectorModule		Scripts/Game/Systems/VanillaOverrides/DataCollector/CRF_SCR_DataCollectorModule.c	6
SCR_CharacterInventoryStorageComponent		Scripts/Game/Systems/VanillaOverrides/Inventory/CRF_SCR_CharacterInventoryStorageComponent.c	1
SCR_InventoryMenuUI		Scripts/Game/Systems/VanillaOverrides/Inventory/CRF_SCR_InventoryMenuUI.c	1
SCR_InventoryStorageManagerComponent	ScriptedInventoryStorageManagerComponent	Scripts/Game/Systems/VanillaOverrides/Inventory/CRF_SCR_InventoryStorageManagerComponent.c	1
SCR_OpenStorageAction	SCR_InventoryAction	Scripts/Game/Systems/VanillaOverrides/Inventory/CRF_SCR_OpenStorageAction.c	1
SCR_OpenVehicleStorageAction	SCR_InventoryAction	Scripts/Game/Systems/VanillaOverrides/Inventory/CRF_SCR_OpenStorageAction.c	31
SCR_CharacterDamageManagerComponent		Scripts/Game/Systems/VanillaOverrides/Managers/CRF_SCR_CharacterDamageManagerComponent.c	6
SCR_EditorManagerEntity		Scripts/Game/Systems/VanillaOverrides/Managers/CRF_SCR_EditorManagerEntity.c	1
SCR_GroupsManagerComponent		Scripts/Game/Systems/VanillaOverrides/Managers/CRF_SCR_GroupsManagerComponent.c	1
SCR_MapMarkerManagerComponent		Scripts/Game/Systems/VanillaOverrides/Managers/CRF_SCR_MapMarkerManagerComponent.c	3
SCR_VehicleDamageManagerComponent		Scripts/Game/Systems/VanillaOverrides/Managers/CRF_SCR_VehicleDamageManagerComponent.c	1
SCR_MapMenuUI		Scripts/Game/Systems/VanillaOverrides/MapBriefing/CRF_SCR_MapMenuUI.c	6
SCR_SpawnRequestComponent		Scripts/Game/Systems/VanillaOverrides/Respawn/CRF_SCR_SpawnRequestComponent.c	19
SCR_BaseGameMode	BaseGameMode	Scripts/Game/Systems/VanillaOverrides/Settings/CRF_SettingsEnforcement.c	110
SCR_VideoSettingsSubMenu	SCR_SettingsSubMenuBase	Scripts/Game/Systems/VanillaOverrides/Settings/CRF_SettingsEnforcement.c	122
SCR_ChatPanel	SCR_ScriptedWidgetComponent	Scripts/Game/Systems/VanillaOverrides/UI/CRF_SCR_ChatPanel.c	1
SCR_EditorPingInfoDisplay		Scripts/Game/Systems/VanillaOverrides/UI/CRF_SCR_EditorPingInfoDisplay.c	1
SCR_GameOverScreenManagerComponent		Scripts/Game/Systems/VanillaOverrides/UI/CRF_SCR_GameOverScreenManagerComponent.c	5
SCR_InventoryMenuUI		Scripts/Game/Systems/VanillaOverrides/UI/CRF_SCR_InventoryMenuUI.c	1
SCR_MapMarkerBase		Scripts/Game/Systems/VanillaOverrides/UI/CRF_SCR_MapMarkerBase.c	1
SCR_MapMarkerSquadLeaderComponent	SCR_MapMarkerDynamicWComponent	Scripts/Game/Systems/VanillaOverrides/UI/CRF_SCR_MapMarkerSquadLeaderComponent.c	1
SCR_PlayerControllerCommandingComponent		Scripts/Game/Systems/VanillaOverrides/UI/CRF_SCR_MapMarkersUI.c	1
SCR_NTTextBase	SCR_NTElementBase	Scripts/Game/Systems/VanillaOverrides/UI/CRF_SCR_NTTextBase.c	3
SCR_NotificationSenderComponent		Scripts/Game/Systems/VanillaOverrides/UI/CRF_SCR_NotificationSenderComponent.c	1
SCR_NotificationsComponent		Scripts/Game/Systems/VanillaOverrides/UI/CRF_SCR_NotificationsComponent.c	1
SCR_PlayerTeleportFeedbackUIComponent		Scripts/Game/Systems/VanillaOverrides/UI/CRF_SCR_PlayerTeleportFeedbackUIComponent.c	1
SCR_PlayerTeleportedFeedbackComponent		Scripts/Game/Systems/VanillaOverrides/UI/CRF_SCR_PlayerTeleportedFeedbackComponent.c	1
SCR_MapMarkerSquadLeader		Scripts/Game/Systems/VanillaOverrides/UI/CRF_SCR_SquadLeaderMarkers.c	2
SCR_WeaponInfo		Scripts/Game/Systems/VanillaOverrides/UI/CRF_SCR_WeaponInfo.c	1
SCR_VoNComponent		Scripts/Game/Systems/VanillaOverrides/VON/CRF_SCR_VONComponent.c	1
SCR_VONController		Scripts/Game/Systems/VanillaOverrides/VON/CRF_SCR_VONController.c	1
SCR_VonDisplay		Scripts/Game/Systems/VanillaOverrides/VON/CRF_SCR_VONDisplay.c	1
